City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,manokwari,-0.8667,134.0833,299.89,81,66,0.85,ID,1693134815
244,maralal,1.0968,36.698,299.11,31,45,3.63,KE,1693134816
245,marsa alam,25.0757,34.8918,309.02,35,2,11.26,EG,1693134816
246,khorixas,-20.3667,14.9667,306.25,6,0,7.34,NA,1693134631
247,phayakkhaphum phisai,15.5163,103.1937,304.49,63,99,5.78,TH,1693134792
248,quellon,-43.1167,-73.6167,281.29,87,75,6.69,CL,1693134817
249,karwar,14.8,74.1333,301.33,71,94,4.22,IN,1693134817
250,xingcheng,40.6167,120.7167,296.39,65,100,4.9,CN,1693134818
251,namibe,-15.1961,12.1522,295.58,66,8,6.79,AO,1693134818
252,mandan,46.8267,-100.8896,289.14,89,20,4.63,US,1693134819
253,glace bay,46.1969,-59.957,292.47,97,100,9.26,CA,1693134819
254,uturoa,-16.7333,-151.4333,298.89,72,18,6.24,PF,1693134819
255,parnaiba,-2.9047,-41.7767,301.12,74,20,5.14,BR,1693134820
256,lorengau,-2.0226,147.2712,300.79,83,62,6.66,PG,1693134820
257,brownfield,33.1812,-102.2744,296.45,88,5,4.21,US,1693134820
258,kodinsk,58.6881,99.1844,294.14,58,29,0.48,RU,1693134820
259,mangrol,21.1167,70.1167,301.28,72,98,6.13,IN,1693134821
260,vorkuta,67.5,64.0,278.52,95,100,5.74,RU,1693134821
261,lititz,40.1573,-76.3069,293.38,90,0,0.0,US,1693134821
262,lovosice,50.515,14.051,292.6,88,100,1.34,CZ,1693134822
263,sitka,57.0531,-135.33,288.09,82,40,3.6,US,1693134822
264,san pascual,13.7975,121.0342,299.05,86,100,9.09,PH,1693134823
265,laayoune,27.1622,-13.2032,302.34,74,35,10.8,EH,1693134823
266,kayangel,8.0823,134.7173,301.32,83,76,6.79,PW,1693134824
267,greenville,35.6127,-77.3663,297.16,95,40,0.0,US,1693134824
268,merizo village,13.2658,144.6691,300.58,88,100,7.1,GU,1693134825
269,enewetak,11.3474,162.3373,300.64,81,100,8.88,MH,1693134825
270,tionk essil,12.7856,-16.5217,302.52,71,100,3.48,SN,1693134825
271,bredasdorp,-34.5322,20.0403,289.96,50,56,4.89,ZA,1693134826
272,mokhsogollokh,61.4681,128.9203,290.57,66,18,1.1,RU,1693134826
273,nizao,18.25,-70.2,298.97,85,85,3.17,DO,1693134827
274,tharyarwady,17.65,95.8,298.9,89,99,3.28,MM,1693134828
275,poso,-1.3959,120.7524,298.99,80,27,1.55,ID,1693134828
276,ylitornio,66.3089,23.6773,292.39,43,40,1.07,FI,1693134829
277,palmer,42.1584,-72.3287,291.98,93,0,0.0,US,1693134829
278,mount pearl,47.5166,-52.7813,289.34,92,75,6.17,CA,1693134829
279,nagqu,31.5,92.0,286.61,58,53,2.87,CN,1693134830
280,usinsk,65.9939,57.5281,280.02,88,100,2.9,RU,1693134830
281,machina,13.1364,10.0492,308.26,39,84,5.24,NG,1693134830
282,north platte,41.1239,-100.7654,287.66,92,0,1.54,US,1693134831
283,mikun',62.3547,50.0771,280.68,86,99,3.47,RU,1693134831
284,tiptree,51.8126,0.7489,293.72,58,2,5.76,GB,1693134831
285,kone,-21.0595,164.8658,291.15,70,99,1.98,NC,1693134832
286,laminusa,5.5549,120.9136,301.52,78,67,6.61,PH,1693134832
287,santana,-0.0583,-51.1817,302.25,74,20,4.12,BR,1693134832
288,kangaba,11.9333,-8.4167,299.62,70,92,2.05,ML,1693134833
289,coahuayana de hidalgo,18.7,-103.6583,297.86,90,100,1.53,MX,1693134834
290,manismata,-2.4667,111.0333,299.9,72,95,3.0,ID,1693134834
291,duminichi,53.9345,35.1099,299.02,51,37,2.16,RU,1693134835
292,terrace,54.5163,-128.6035,288.1,82,40,1.03,CA,1693134836
293,katra,32.9833,74.95,299.57,96,21,0.98,IN,1693134836
294,dwarka,22.2394,68.9678,301.52,69,88,8.36,IN,1693134836
295,keflavik,64.0049,-22.5624,287.1,76,75,6.69,IS,1693134837
296,tangalle,6.024,80.7911,303.2,64,25,7.51,LK,1693134837
297,gebeit,21.0667,36.3167,313.99,12,87,3.63,SD,1693134838
298,pimentel,-6.8367,-79.9342,292.29,91,14,3.61,PE,1693134838
299,conception bay south,47.4999,-52.9981,289.67,94,92,3.85,CA,1693134721
300,maragogi,-9.0122,-35.2225,299.27,86,31,4.2,BR,1693134839
301,hadibu,12.65,54.0333,302.17,66,71,10.11,YE,1693134839
302,novodvinsk,64.4165,40.8122,284.75,65,100,3.1,RU,1693134839
303,vadso,70.0744,29.7487,285.24,71,100,5.14,NO,1693134840
304,aioun,16.6614,-9.6149,309.3,31,97,4.62,MR,1693134840
305,kendari,-3.945,122.4989,296.32,79,8,3.09,ID,1693134620
306,paradip garh,20.3167,86.6167,304.07,69,76,5.19,IN,1693134835
307,klyuchi,52.2667,79.1667,293.18,66,100,3.67,RU,1693134841
308,qa'en,33.7265,59.1844,300.04,34,42,7.59,IR,1693134842
309,lydenburg,-25.0978,30.4597,290.75,31,5,3.82,ZA,1693134842
310,ban houayxay,20.2453,100.4547,299.24,90,74,1.41,LA,1693134843
311,la passe,45.5549,-0.8967,295.28,50,3,7.62,FR,1693134843
312,nikolayevsk-on-amure,53.1406,140.73,285.63,64,100,0.27,RU,1693134844
313,katabu,-4.9333,122.5167,297.0,74,12,3.54,ID,1693134844
314,tyukhtet,56.5389,89.3011,294.22,63,97,3.56,RU,1693134845
315,punta arenas,-53.15,-70.9167,276.54,92,100,4.52,CL,1693134846
316,oyama,36.3,139.8,304.59,66,100,2.11,JP,1693134846
317,tateyama,34.9833,139.8667,298.8,83,99,3.14,JP,1693134847
318,porto velho,-8.7619,-63.9039,299.18,73,0,3.6,BR,1693134847
319,kudahuvadhoo,2.6708,72.8944,301.78,70,36,2.25,MV,1693134848
320,crescent city,41.756,-124.2018,287.73,94,100,1.54,US,1693134848
321,jiuquan,39.7432,98.5174,301.48,13,0,9.46,CN,1693134848
322,sabancuy,18.9667,-91.1833,299.53,84,95,1.55,MX,1693134849
323,aasiaat,68.7098,-52.8699,276.47,92,100,2.43,GL,1693134849
324,queenstown,-31.8976,26.8753,287.78,29,2,2.06,ZA,1693134849
325,cabedelo,-6.9811,-34.8339,300.52,82,8,3.9,BR,1693134849
326,kolonia town,6.964,158.206,298.15,100,100,1.54,FM,1693134850
327,burang,30.25,81.1667,286.26,56,80,4.11,CN,1693134850
328,myeik,12.4333,98.6,300.55,80,81,3.27,MM,1693134851
329,baiti,13.745,-14.7482,302.19,77,100,4.53,SN,1693134851
330,noosa heads,-26.3833,153.15,290.99,75,0,5.83,AU,1693134634
331,suntar,62.1444,117.6319,292.19,51,8,1.64,RU,1693134852
332,kutum,14.2,24.6667,305.36,32,84,4.71,SD,1693134852
333,mandera,3.9366,41.867,309.23,20,8,9.15,KE,1693134853
334,kulhudhuffushi,6.6221,73.07,301.85,73,71,4.64,MV,1693134853
335,yuzhno-kurilsk,44.0306,145.8556,293.3,99,100,3.41,RU,1693134853
336,anaconda,46.1285,-112.9423,283.7,50,73,1.07,US,1693134854
337,dudinka,69.4058,86.1778,289.05,63,51,5.05,RU,1693134854
338,arteche,12.2645,125.4048,300.89,75,93,5.04,PH,1693134855
339,celestun,20.8667,-90.4,299.65,87,75,2.89,MX,1693134855
340,high river,50.5834,-113.8687,288.88,70,98,1.71,CA,1693134855
341,vila franca do campo,37.7167,-25.4333,297.38,68,64,5.58,PT,1693134855
342,zhuanghe,39.7008,122.9911,295.95,80,100,2.61,CN,1693134856
343,san luis de la loma,17.2706,-100.8939,297.87,88,39,1.9,MX,1693134856
344,rio grande,-32.035,-52.0986,280.21,75,3,4.74,BR,1693134661
345,sydney,-33.8679,151.2073,288.83,81,91,0.45,AU,1693134147
346,kailua-kona,19.6406,-155.9956,298.13,85,75,5.66,US,1693134773
347,tak bai,6.2595,102.0546,303.14,81,31,2.4,TH,1693134858
348,virrat,62.2476,23.78,288.97,70,82,3.09,FI,1693134860
